old_ID	new_ID
HDGFRP2	ENSG00000167674
ENSG00000112096	ENSG00000291237
ENSG00000130489	ENSG00000284194
ENSG00000130723	ENSG00000288701
ENSG00000274081	ENSG00000179950
ENSG00000280873	ENSG00000077044
ENSG00000282513	ENSG00000248905
ENSG00000282956	ENSG00000151276
ENSG00000282984	ENSG00000284770
ENSG00000283017	ENSG00000082805
ENSG00000283187	ENSG00000036828
ENSG00000283277	ENSG00000103264
ENSG00000283590	ENSG00000188566
ENSG00000168468	ENSG00000213676
ENSG00000206279	ENSG00000204209
ENSG00000206376	ENSG00000204371
ENSG00000206454	ENSG00000204531
ENSG00000206490	ENSG00000204574
ENSG00000215522	ENSG00000204580
ENSG00000223775	ENSG00000204568
ENSG00000223852	ENSG00000204644
ENSG00000224200	ENSG00000204315
ENSG00000224399	ENSG00000112473
ENSG00000224774	ENSG00000204435
ENSG00000225060	ENSG00000146112
ENSG00000225589	ENSG00000137337
ENSG00000225998	ENSG00000204392
ENSG00000226384	ENSG00000213780
ENSG00000226916	ENSG00000227057
ENSG00000227804	ENSG00000204569
ENSG00000228333	ENSG00000204231
ENSG00000229470	ENSG00000204590
ENSG00000229496	ENSG00000198563
ENSG00000230308	ENSG00000204599
ENSG00000231044	ENSG00000204356
ENSG00000231945	ENSG00000204394
ENSG00000232541	ENSG00000204248
ENSG00000232569	ENSG00000204681
ENSG00000233561	ENSG00000204560
ENSG00000234058	ENSG00000204619
ENSG00000234651	ENSG00000204463
ENSG00000234704	ENSG00000204256
ENSG00000235692	ENSG00000204220
ENSG00000237071	ENSG00000204713
ENSG00000237165	ENSG00000204539
ENSG00000239865	ENSG00000241370
ENSG00000261992	ENSG00000143614
ENSG00000262024	ENSG00000100207
ENSG00000262446	ENSG00000177628
ENSG00000262634	ENSG00000154839
ENSG00000263141	ENSG00000159086
ENSG00000273494	ENSG00000157881
ENSG00000273707	ENSG00000129757
ENSG00000273761	ENSG00000089737
ENSG00000273772	ENSG00000205571
ENSG00000274166	ENSG00000278662
ENSG00000274229	ENSG00000274211
ENSG00000274382	ENSG00000175325
ENSG00000274474	ENSG00000108953
ENSG00000274616	ENSG00000088038
ENSG00000274646	ENSG00000170889
ENSG00000274803	ENSG00000145734
ENSG00000274939	ENSG00000274808
ENSG00000275079	ENSG00000153395
ENSG00000275099	ENSG00000278311
ENSG00000275199	ENSG00000117020
ENSG00000275237	ENSG00000189013
ENSG00000275272	ENSG00000083896
ENSG00000275349	ENSG00000172062
ENSG00000275760	ENSG00000260287
ENSG00000275851	ENSG00000275023
ENSG00000275903	ENSG00000277791
ENSG00000276072	ENSG00000275700
ENSG00000276111	ENSG00000054282
ENSG00000276163	ENSG00000167613
ENSG00000276323	ENSG00000105619
ENSG00000276458	ENSG00000167615
ENSG00000276734	ENSG00000168280
ENSG00000276761	ENSG00000273559
ENSG00000276799	ENSG00000158955
ENSG00000276876	ENSG00000196132
ENSG00000277015	ENSG00000256463
ENSG00000277292	ENSG00000276293
ENSG00000277354	ENSG00000150938
ENSG00000277361	ENSG00000104044
ENSG00000277445	ENSG00000214575
ENSG00000277594	ENSG00000278053
ENSG00000277614	ENSG00000166922
ENSG00000277641	ENSG00000108379
ENSG00000277733	ENSG00000125505
ENSG00000278174	ENSG00000073969
ENSG00000278191	ENSG00000110619
ENSG00000278243	ENSG00000104522
ENSG00000278494	ENSG00000085721
ENSG00000278516	ENSG00000105617
ENSG00000278622	ENSG00000170892
ENSG00000278644	ENSG00000277258
ENSG00000278741	ENSG00000159842
ENSG00000278759	ENSG00000141556
ENSG00000278788	ENSG00000064932
ENSG00000280495	ENSG00000196655
ENSG00000280548	ENSG00000105202
ENSG00000280618	ENSG00000273749
ENSG00000280680	ENSG00000054392
ENSG00000280807	ENSG00000275835
ENSG00000280858	ENSG00000148303
ENSG00000280975	ENSG00000186166
ENSG00000280987	ENSG00000015479
ENSG00000281089	ENSG00000085978
ENSG00000281184	ENSG00000008018
ENSG00000281500	ENSG00000137700
ENSG00000281670	ENSG00000099991
ENSG00000281763	ENSG00000174953
ENSG00000281813	ENSG00000156650
ENSG00000281917	ENSG00000155380
ENSG00000281994	ENSG00000183426
ENSG00000282046	ENSG00000166923
ENSG00000282087	ENSG00000275954
ENSG00000282119	ENSG00000232423
ENSG00000282147	ENSG00000177706
ENSG00000282318	ENSG00000198010
ENSG00000282684	ENSG00000014164
ENSG00000282712	ENSG00000177030
ENSG00000282739	ENSG00000144741
ENSG00000282825	ENSG00000134030
ENSG00000282844	ENSG00000130402
ENSG00000283018	ENSG00000128626
ENSG00000283104	ENSG00000104835
ENSG00000283510	ENSG00000114933
